"""Plant"""STR:0PLANT|"""Material"""MAT:0MATERIAL|"""Calendar Day"""CALDAY:0CALDAY|"""Sal Qty"""SALEQTY:0CPBAINSABU|"""Sal Ret Val"""SALERET:0RTBAINSASV|"""Sal Ret with Tax"""GROSSVAL:0RTBAINSAST|"""Sal Cost Val"""COSTVAL:0CPBAINSAPV|"""Net Margin"""NETMARGIN:0RTBAINSASV
FL01|000000000001008699|20200213|27.730 |1567.40 |1567.40 |1063.72 |503.68 
FL03|000000000001008699|20200213|5.580 |339.60 |339.60 |210.87 |128.73 
FL04|000000000001008699|20200213|6.560 |392.90 |392.90 |350.96 |41.94 
FL05|000000000001008699|20200213|19.840 |527.10 |527.10 |356.13 |170.97 
FL06|000000000001008699|20200213|5.720 |150.20 |150.20 |113.14 |37.06 
FL09|000000000001008699|20200213|4.740 |123.80 |123.80 |86.60 |37.20 
FL10|000000000001008699|20200213|5.940 |159.70 |159.70 |103.30 |56.40 
FL12|000000000001008699|20200213|3.130 |88.80 |88.80 |68.33 |20.47 
FL18|000000000001008699|20200213|9.970 |536.90 |536.90 |441.97 |94.93 
FL19|000000000001008699|20200213|2.030 |126.45 |126.45 |71.21 |55.24 
SD23|000000000001008699|20200213|2.000 |24.00 |24.00 |30.00 |6.00-
SM02|000000000001008699|20200213|25.758 |1210.13 |1210.13 |817.02 |393.11 
SM03|000000000001008699|20200213|23.688 |639.60 |639.60 |355.32 |284.28 
SM06|000000000001008699|20200213|22.132 |686.10 |686.10 |331.33 |354.77 
SM09|000000000001008699|20200213|18.397 |533.52 |533.52 |275.77 |257.75 
SM11|000000000001008699|20200213|7.326 |337.00 |337.00 |240.51 |96.49 
SM12|000000000001008699|20200213|7.942 |389.15 |389.15 |238.58 |150.57 
SM13|000000000001008699|20200213|36.473 |1053.70 |1053.70 |546.38 |507.32 
SM14|000000000001008699|20200213|18.710 |580.01 |580.01 |280.49 |299.52 
SM15|000000000001008699|20200213|1.930 |61.77 |61.77 |43.71 |18.06 
SM16|000000000001008699|20200213|31.710 |602.46 |602.46 |475.65 |126.81 
SM17|000000000001008699|20200213|9.602 |259.23 |259.23 |143.73 |115.50 
SM18|000000000001008699|20200213|31.636 |1508.61 |1508.61 |997.26 |511.35 
SM20|000000000001008699|20200213|6.072 |194.30 |194.30 |135.76 |58.54 
SM22|000000000001008699|20200213|20.866 |1022.46 |1022.46 |627.44 |395.02 
SM23|000000000001008699|20200213|4.368 |196.56 |196.56 |131.21 |65.35 
SM24|000000000001008699|20200213|5.874 |270.19 |270.19 |194.67 |75.52 
SM25|000000000001008699|20200213|51.844 |1331.82 |1331.82 |777.68 |554.14 
SM26|000000000001008699|20200213|4.000 |128.00 |128.00 |92.91 |35.09 
SM27|000000000001008699|20200213|4.720 |231.29 |231.29 |149.94 |81.35 
SM28|000000000001008699|20200213|19.524 |976.20 |976.20 |590.99 |385.21 
SM31|000000000001008699|20200213|19.570 |978.50 |978.50 |587.50 |391.00 
SM32|000000000001008699|20200213|1.442 |40.54 |40.54 |33.52 |7.02 
SM34|000000000001008699|20200213|10.258 |297.49 |297.49 |153.57 |143.92 
SM35|000000000001008699|20200213|9.172 |247.64 |247.64 |137.58 |110.06 
SM36|000000000001008699|20200213|29.356 |1379.78 |1379.78 |866.90 |512.88 
SM37|000000000001008699|20200213|4.550 |204.75 |204.75 |136.55 |68.20 
SM38|000000000001008699|20200213|4.985 |229.31 |229.31 |150.50 |78.81 
SM39|000000000001008699|20200213|4.028 |201.40 |201.40 |129.15 |72.25 
SM40|000000000001008699|20200213|0.914 |42.04 |42.04 |30.88 |11.16 
SM44|000000000001008699|20200213|6.128 |294.15 |294.15 |192.91 |101.24 
