"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
SM01|000000000001008707|20200217|4.252 
SM01|000000000001008717|20200217|0.650 
SM01|000000000001008742|20200217|11.422 
SM01|000000000001008753|20200217|41.364 
SM01|000000000001008904|20200217|3.602-
SM01|000000000001018598|20200217|102.000 
SM01|000000000001018683|20200217|190.000 
SM01|000000000001337938|20200217|11.000-
SM01|000000000001356750|20200217|6.000-
SM01|000000000001359559|20200217|1.000-
SM02|000000000001008713|20200217|17.046 
SM02|000000000001008887|20200217|2.682 
SM02|000000000001008902|20200217|7.986 
SM02|000000000001030539|20200217|4.782-
SM02|000000000001036516|20200217|0.860 
SM02|000000000001051951|20200217|5.000 
SM02|000000000001292556|20200217|9.000 
SM02|000000000001306362|20200217|11.000 
SM02|000000000001306417|20200217|25.000 
SM02|000000000001306846|20200217|10.000 
SM02|000000000001336494|20200217|25.000 
SM02|000000000001336495|20200217|13.000 
SM02|000000000001337946|20200217|1.000 
SM02|000000000001349369|20200217|1.000-
SM02|000000000001356751|20200217|1.000-
SM02|000000000001358047|20200217|9.000 
DC13|000000000001259970|20200217|1527.500 
DC13|000000000001306074|20200217|37.000 
DC13|000000000001008792|20200217|7.000 
DC13|000000000001008821|20200217|13.000 
CC01|000000000001025624|20200217|2.000 
CC01|000000000001267129|20200217|4.000 
DC09|000000000001008721|20200217|84.000 
DC09|000000000001069475|20200217|367.700 
DC09|000000000001338524|20200217|2.000 
DC09|000000000001338538|20200217|29.000 
DC09|000000000001348809|20200217|5.000 
DC13|000000000001026048|20200217|11.500 
DC13|000000000001027694|20200217|123.000 
DC13|000000000001028698|20200217|470.000 
EC01|000000000001008766|20200217|1.000 
EC02|000000000001008887|20200217|1.000-
EC02|000000000001008906|20200217|1.000-
EC02|000000000001018612|20200217|1.000-
EC08|000000000001026048|20200217|2.000 
FL01|000000000001293440|20200217|208.000 
FL01|000000000001293529|20200217|2.000 
FL02|000000000001008726|20200217|0.940-
FL02|000000000001008727|20200217|0.330-
FL02|000000000001008756|20200217|1.180-
FL02|000000000001008760|20200217|0.770-
FL02|000000000001008788|20200217|6.540-
FL02|000000000001008815|20200217|0.470 
FL02|000000000001008922|20200217|0.330 
FL02|000000000001008940|20200217|0.130 
FL02|000000000001013393|20200217|0.041 
FL02|000000000001018245|20200217|2.264 
FL02|000000000001036515|20200217|1.060 
FL02|000000000001069494|20200217|1.190-
FL04|000000000001052169|20200217|64.000 
FL04|000000000001069494|20200217|0.070-
FL03|000000000001008725|20200217|6.160-
FL03|000000000001008740|20200217|15.970-
FL03|000000000001008821|20200217|4.910-
FL04|000000000001026389|20200217|2.000 
FL04|000000000001037003|20200217|5.000 
FL02|000000000001293435|20200217|1.000 
FL03|000000000001013373|20200217|0.270-
FL04|000000000001008704|20200217|30.800-
FL04|000000000001008902|20200217|0.370-
FL04|000000000001008932|20200217|11.210-
FL04|000000000001013615|20200217|0.010-
FL01|000000000001008719|20200217|34.000-
FL01|000000000001008726|20200217|5.120-
FL02|000000000001306420|20200217|3.000 
FL02|000000000001306462|20200217|5.000 
FL03|000000000001018680|20200217|1.590-
FL03|000000000001018823|20200217|36.080-
FL03|000000000001028375|20200217|2.960-
FL03|000000000001036534|20200217|6.090-
FL01|000000000001008740|20200217|57.350 
FL01|000000000001008909|20200217|16.310 
FL01|000000000001306031|20200217|39.000 
FL01|000000000001306462|20200217|7.000 
FL03|000000000001051951|20200217|12.000 
FL01|000000000001013386|20200217|0.040-
FL01|000000000001018598|20200217|1851.000 
FL01|000000000001034290|20200217|5.680-
FL03|000000000001299095|20200217|1.000 
FL03|000000000001306848|20200217|1.000 
FL03|000000000001307023|20200217|1.000 
FL01|000000000001260302|20200217|1.000 
SD23|000000000001036562|20200217|2.000-
FL18|000000000001008699|20200217|31.130-
FL18|000000000001008725|20200217|0.570-
FL18|000000000001008733|20200217|6.450-
FL18|000000000001008740|20200217|1.680-
FL09|000000000001172641|20200217|3.120-
FL18|000000000001008757|20200217|3.980-
FL18|000000000001008780|20200217|0.540-
FL18|000000000001034289|20200217|1.330 
FL18|000000000001036515|20200217|1.640-
FL05|000000000001350328|20200217|1.000 
FL18|000000000001172641|20200217|5.360-
FL06|000000000001008765|20200217|4.990-
FL06|000000000001008780|20200217|1.520-
FL06|000000000001008884|20200217|0.510-
FL06|000000000001008888|20200217|0.490-
FL10|000000000001008700|20200217|59.590-
FL10|000000000001008708|20200217|11.660-
FL10|000000000001008737|20200217|0.160 
FL10|000000000001008741|20200217|1.770-
FL10|000000000001008762|20200217|3.230-
FL06|000000000001018827|20200217|2.470-
FL06|000000000001036516|20200217|0.060 
FL10|000000000001018826|20200217|0.930 
FL04|000000000001219388|20200217|31.000 
FL04|000000000001274778|20200217|0.555-
FL10|000000000001043321|20200217|19.100-
FL04|000000000001306072|20200217|2.000 
FL04|000000000001306075|20200217|1.000 
FL04|000000000001306438|20200217|3.000 
FL06|000000000001283326|20200217|0.070-
FL06|000000000001306037|20200217|2.000 
FL19|000000000001008727|20200217|0.050-
FL19|000000000001008742|20200217|9.710-
FL19|000000000001008821|20200217|0.260-
FL04|000000000001325412|20200217|0.250 
FL06|000000000001325781|20200217|1.000 
FL19|000000000001025624|20200217|1.000-
FL19|000000000001034289|20200217|0.240-
FL19|000000000001036515|20200217|1.350-
FL07|000000000001008715|20200217|0.410-
FL07|000000000001036516|20200217|0.620-
HB02|000000000001008828|20200217|5.800 
HB02|000000000001008880|20200217|34.554 
HB02|000000000001259970|20200217|16.470 
HB02|000000000001347215|20200217|50.000 
FL05|000000000001008756|20200217|0.180 
FL05|000000000001008783|20200217|12.590-
FL05|000000000001008911|20200217|10.060-
FL05|000000000001008930|20200217|0.020-
FL05|000000000001008939|20200217|1.400 
FL05|000000000001008944|20200217|1.850-
FL11|000000000001008763|20200217|0.950-
FL11|000000000001008788|20200217|0.230-
FL11|000000000001008898|20200217|0.030-
FL11|000000000001008934|20200217|1.100 
FL11|000000000001013375|20200217|0.220-
FL11|000000000001018598|20200217|4.000 
HB04|000000000001034290|20200217|10.000 
HB04|000000000001267129|20200217|10.000 
FL05|000000000001028699|20200217|31.000 
FL08|000000000001008716|20200217|1.630-
FL08|000000000001008722|20200217|0.260-
FL08|000000000001008760|20200217|1.830-
FL08|000000000001013375|20200217|1.290-
FL08|000000000001018612|20200217|3.940-
FL08|000000000001036527|20200217|9.560-
FL08|000000000001059050|20200217|0.100-
FL11|000000000001043321|20200217|1.240-
FL12|000000000001008708|20200217|7.780-
FL12|000000000001008726|20200217|1.240-
